"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"car_share"
"11/26/2024 19:52:24:478 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","0.3","0.3","0","0","0","0","0","0","0","0","0"
"1","0.3","15000","1","30","0.3","0.3","0","1","1","2199","442","4426","11","3984","1.8117326057298773"
"1","0.3","15000","1","30","0.3","0.3","0","2","2","2197","430","4411","26","3981","1.812016385980883"
"1","0.3","15000","1","30","0.3","0.3","0","3","3","2195","420","4398","39","3978","1.8123006833712985"
"1","0.3","15000","1","30","0.3","0.3","0","4","4","2188","418","4386","51","3968","1.813528336380256"
"1","0.3","15000","1","30","0.3","0.3","0","5","5","2185","418","4380","57","3962","1.8132723112128146"
"1","0.3","15000","1","30","0.3","0.3","0","6","6","2174","408","4355","82","3947","1.8155473781048759"
"1","0.3","15000","1","30","0.3","0.3","0","7","7","2169","397","4337","100","3940","1.8165053019824804"
"1","0.3","15000","1","30","0.3","0.3","0","8","8","2149","397","4306","131","3909","1.8189855746859005"
"1","0.3","15000","1","30","0.3","0.3","0","9","9","2146","397","4303","134","3906","1.820130475302889"
"1","0.3","15000","1","30","0.3","0.3","0","10","10","2139","381","4276","161","3895","1.8209443665264142"
"1","0.3","15000","1","30","0.3","0.3","0","11","11","2129","364","4241","196","3877","1.8210427430718648"
"1","0.3","15000","1","30","0.3","0.3","0","12","12","2120","330","4193","244","3863","1.8221698113207547"
"1","0.3","15000","1","30","0.3","0.3","0","13","13","2112","317","4166","271","3849","1.8224431818181819"
"1","0.3","15000","1","30","0.3","0.3","0","14","14","2104","309","4143","294","3834","1.8222433460076046"
"1","0.3","15000","1","30","0.3","0.3","0","15","15","2097","309","4131","306","3822","1.8226037195994278"
"1","0.3","15000","1","30","0.3","0.3","0","16","16","2090","296","4105","332","3809","1.822488038277512"
"1","0.3","15000","1","30","0.3","0.3","0","17","17","2082","273","4071","366","3798","1.824207492795389"
"1","0.3","15000","1","30","0.3","0.3","0","18","18","2077","252","4043","394","3791","1.82522869523351"
"1","0.3","15000","1","30","0.3","0.3","0","19","19","2070","232","4011","426","3779","1.8256038647342996"
"1","0.3","15000","1","30","0.3","0.3","0","20","20","2068","202","3979","458","3777","1.8264023210831721"
