"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"car_share"
"11/27/2024 18:20:02:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"1","0.3","15000","1","30","0.3","0.3","0.1","1","1","1303","431","4427","11","3996","3.066768994627782"
"1","0.3","15000","1","30","0.3","0.3","0.1","2","2","1301","422","4414","24","3992","3.0684089162182935"
"1","0.3","15000","1","30","0.3","0.3","0.1","3","3","1299","407","4392","46","3985","3.0677444187836795"
"1","0.3","15000","1","30","0.3","0.3","0.1","4","4","1287","403","4356","82","3953","3.0714840714840714"
"1","0.3","15000","1","30","0.3","0.3","0.1","5","5","1278","403","4325","113","3922","3.0688575899843507"
"1","0.3","15000","1","30","0.3","0.3","0.1","6","6","1264","388","4274","164","3886","3.074367088607595"
"1","0.3","15000","1","30","0.3","0.3","0.1","7","7","1256","382","4246","192","3864","3.0764331210191083"
"1","0.3","15000","1","30","0.3","0.3","0.1","8","8","1248","382","4219","219","3837","3.074519230769231"
"1","0.3","15000","1","30","0.3","0.3","0.1","9","9","1239","382","4190","248","3808","3.073446327683616"
"1","0.3","15000","1","30","0.3","0.3","0.1","10","10","1231","371","4151","287","3780","3.0706742485783916"
"1","0.3","15000","1","30","0.3","0.3","0.1","11","11","1222","356","4116","322","3760","3.076923076923077"
"1","0.3","15000","1","30","0.3","0.3","0.1","12","12","1215","318","4054","384","3736","3.0748971193415637"
"1","0.3","15000","1","30","0.3","0.3","0.1","13","13","1206","305","4010","428","3705","3.072139303482587"
"1","0.3","15000","1","30","0.3","0.3","0.1","14","14","1194","299","3968","470","3669","3.0728643216080402"
"1","0.3","15000","1","30","0.3","0.3","0.1","15","15","1188","299","3951","487","3652","3.074074074074074"
"1","0.3","15000","1","30","0.3","0.3","0.1","16","16","1185","279","3922","516","3643","3.0742616033755272"
"1","0.3","15000","1","30","0.3","0.3","0.1","17","17","1177","254","3873","565","3619","3.074766355140187"
"1","0.3","15000","1","30","0.3","0.3","0.1","18","18","1168","243","3842","596","3599","3.081335616438356"
"1","0.3","15000","1","30","0.3","0.3","0.1","19","19","1159","229","3798","640","3569","3.079378774805867"
"1","0.3","15000","1","30","0.3","0.3","0.1","20","20","1155","199","3758","680","3559","3.0813852813852813"
"1","0.3","15000","1","30","0.3","0.3","0.1","21","21","1151","189","3733","705","3544","3.0790616854908777"
"1","0.3","15000","1","30","0.3","0.3","0.1","22","22","1141","152","3663","775","3511","3.077125328659071"
"1","0.3","15000","1","30","0.3","0.3","0.1","23","23","1133","141","3627","811","3486","3.0767872903795235"
"1","0.3","15000","1","30","0.3","0.3","0.1","24","24","1125","114","3575","863","3461","3.0764444444444443"
"1","0.3","15000","1","30","0.3","0.3","0.1","25","25","1116","88","3518","920","3430","3.0734767025089607"
"1","0.3","15000","1","30","0.3","0.3","0.1","26","26","1110","53","3462","976","3409","3.071171171171171"
"1","0.3","15000","1","30","0.3","0.3","0.1","27","27","1101","28","3413","1025","3385","3.0744777475022707"
"1","0.3","15000","1","30","0.3","0.3","0.1","28","28","1095","0","3368","1070","3368","3.075799086757991"
"1","0.3","15000","1","30","0.3","0.3","0.1","29","29","1093","0","3361","1077","3361","3.0750228728270814"
"1","0.3","15000","1","30","0.3","0.3","0.1","30","30","1087","0","3342","1096","3342","3.0745170193192273"
"1","0.3","15000","1","30","0.3","0.3","0.1","31","31","1079","0","3319","1119","3319","3.0759962928637625"
"1","0.3","15000","1","30","0.3","0.3","0.1","32","32","1075","0","3311","1127","3311","3.08"
"1","0.3","15000","1","30","0.3","0.3","0.1","33","33","1072","0","3302","1136","3302","3.080223880597015"
"1","0.3","15000","1","30","0.3","0.3","0.1","34","34","1071","0","3299","1139","3299","3.0802987861811393"
"1","0.3","15000","1","30","0.3","0.3","0.1","35","35","1065","0","3285","1153","3285","3.084507042253521"
"1","0.3","15000","1","30","0.3","0.3","0.1","36","36","1060","0","3268","1170","3268","3.0830188679245283"
"1","0.3","15000","1","30","0.3","0.3","0.1","37","37","1058","0","3261","1177","3261","3.0822306238185253"
"1","0.3","15000","1","30","0.3","0.3","0.1","38","38","1057","0","3257","1181","3257","3.0813623462630084"
"1","0.3","15000","1","30","0.3","0.3","0.1","39","39","1051","0","3238","1200","3238","3.0808753568030447"
"1","0.3","15000","1","30","0.3","0.3","0.1","40","40","1048","0","3229","1209","3229","3.0811068702290076"
"1","0.3","15000","1","30","0.3","0.3","0.1","41","41","1044","0","3219","1219","3219","3.0833333333333335"
"1","0.3","15000","1","30","0.3","0.3","0.1","42","42","1040","0","3206","1232","3206","3.082692307692308"
"1","0.3","15000","1","30","0.3","0.3","0.1","43","43","1037","0","3197","1241","3197","3.0829315332690452"
"1","0.3","15000","1","30","0.3","0.3","0.1","44","44","1032","0","3183","1255","3183","3.0843023255813953"
"1","0.3","15000","1","30","0.3","0.3","0.1","45","45","1027","0","3167","1271","3167","3.083739045764362"
"1","0.3","15000","1","30","0.3","0.3","0.1","46","46","1021","0","3146","1292","3146","3.081292850146915"
"1","0.3","15000","1","30","0.3","0.3","0.1","47","47","1018","0","3142","1296","3142","3.086444007858546"
"1","0.3","15000","1","30","0.3","0.3","0.1","48","48","1013","0","3124","1314","3124","3.08390918065153"
"1","0.3","15000","1","30","0.3","0.3","0.1","49","49","1013","0","3124","1314","3124","3.08390918065153"
"1","0.3","15000","1","30","0.3","0.3","0.1","50","50","1007","0","3104","1334","3104","3.082423038728898"
"1","0.3","15000","1","30","0.3","0.3","0.1","51","51","1001","0","3087","1351","3087","3.0839160839160837"
"1","0.3","15000","1","30","0.3","0.3","0.1","52","52","997","0","3074","1364","3074","3.0832497492477433"
"1","0.3","15000","1","30","0.3","0.3","0.1","53","53","991","0","3056","1382","3056","3.083753784056509"
"1","0.3","15000","1","30","0.3","0.3","0.1","54","54","985","0","3037","1401","3037","3.083248730964467"
"1","0.3","15000","1","30","0.3","0.3","0.1","55","55","981","0","3024","1414","3024","3.0825688073394497"
"1","0.3","15000","1","30","0.3","0.3","0.1","56","56","973","0","2997","1441","2997","3.08016443987667"
"1","0.3","15000","1","30","0.3","0.3","0.1","57","57","970","0","2991","1447","2991","3.0835051546391754"
"1","0.3","15000","1","30","0.3","0.3","0.1","58","58","970","0","2991","1447","2991","3.0835051546391754"
"1","0.3","15000","1","30","0.3","0.3","0.1","59","59","965","0","2977","1461","2977","3.0849740932642487"
"1","0.3","15000","1","30","0.3","0.3","0.1","60","60","961","0","2963","1475","2963","3.0832466181061395"
"1","0.3","15000","1","30","0.3","0.3","0.1","61","61","955","0","2946","1492","2946","3.0848167539267015"
"1","0.3","15000","1","30","0.3","0.3","0.1","62","62","952","0","2937","1501","2937","3.0850840336134455"
"1","0.3","15000","1","30","0.3","0.3","0.1","63","63","949","0","2928","1510","2928","3.0853530031612224"
"1","0.3","15000","1","30","0.3","0.3","0.1","64","64","941","0","2901","1537","2901","3.082890541976621"
"1","0.3","15000","1","30","0.3","0.3","0.1","65","65","938","0","2889","1549","2889","3.079957356076759"
"1","0.3","15000","1","30","0.3","0.3","0.1","66","66","935","0","2883","1555","2883","3.083422459893048"
"1","0.3","15000","1","30","0.3","0.3","0.1","67","67","928","0","2861","1577","2861","3.0829741379310347"
"1","0.3","15000","1","30","0.3","0.3","0.1","68","68","923","0","2848","1590","2848","3.085590465872156"
"1","0.3","15000","1","30","0.3","0.3","0.1","69","69","917","0","2827","1611","2827","3.0828789531079606"
"1","0.3","15000","1","30","0.3","0.3","0.1","70","70","913","0","2815","1623","2815","3.0832420591456735"
"1","0.3","15000","1","30","0.3","0.3","0.1","71","71","908","0","2799","1639","2799","3.0825991189427313"
"1","0.3","15000","1","30","0.3","0.3","0.1","72","72","900","0","2775","1663","2775","3.0833333333333335"
"1","0.3","15000","1","30","0.3","0.3","0.1","73","73","894","0","2759","1679","2759","3.086129753914989"
"1","0.3","15000","1","30","0.3","0.3","0.1","74","74","892","0","2754","1684","2754","3.087443946188341"
"1","0.3","15000","1","30","0.3","0.3","0.1","75","75","888","0","2741","1697","2741","3.0867117117117115"
