"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"tick_res"
"11/26/2024 19:28:48:436 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","0.3","0.4","0","0","0","0","0","0","0","0","0"
"1","0.3","15000","1","30","0.3","0.4","0","1","1","1097","445","4412","8","3967","3.616226071103008"
"1","0.3","15000","1","30","0.3","0.4","0","2","2","1093","437","4391","29","3954","3.617566331198536"
"1","0.3","15000","1","30","0.3","0.4","0","3","3","1080","420","4325","95","3905","3.615740740740741"
"1","0.3","15000","1","30","0.3","0.4","0","4","4","1034","416","4206","214","3790","3.665377176015474"
"1","0.3","15000","1","30","0.3","0.4","0","5","5","1025","406","4165","255","3759","3.667317073170732"
"1","0.3","15000","1","30","0.3","0.4","0","6","6","1012","406","4128","292","3722","3.677865612648221"
"1","0.3","15000","1","30","0.3","0.4","0","7","7","994","399","4052","368","3653","3.6750503018108653"
"1","0.3","15000","1","30","0.3","0.4","0","8","8","982","367","3980","440","3613","3.679226069246436"
"1","0.3","15000","1","30","0.3","0.4","0","9","9","969","338","3904","516","3566","3.6800825593395254"
"1","0.3","15000","1","30","0.3","0.4","0","10","10","952","314","3814","606","3500","3.676470588235294"
"1","0.3","15000","1","30","0.3","0.4","0","11","11","939","307","3761","659","3454","3.6783812566560172"
"1","0.3","15000","1","30","0.3","0.4","0","12","12","930","286","3715","705","3429","3.6870967741935483"
"1","0.3","15000","1","30","0.3","0.4","0","13","13","921","265","3665","755","3400","3.6916395222584146"
"1","0.3","15000","1","30","0.3","0.4","0","14","14","914","228","3599","821","3371","3.6881838074398248"
"1","0.3","15000","1","30","0.3","0.4","0","15","15","910","194","3550","870","3356","3.687912087912088"
"1","0.3","15000","1","30","0.3","0.4","0","16","16","907","174","3518","902","3344","3.686879823594267"
"1","0.3","15000","1","30","0.3","0.4","0","17","17","897","144","3449","971","3305","3.6845039018952064"
"1","0.3","15000","1","30","0.3","0.4","0","18","18","883","109","3358","1062","3249","3.679501698754247"
"1","0.3","15000","1","30","0.3","0.4","0","19","19","878","94","3325","1095","3231","3.6799544419134396"
"1","0.3","15000","1","30","0.3","0.4","0","20","20","873","40","3252","1168","3212","3.679266895761741"
"1","0.3","15000","1","30","0.3","0.4","0","21","21","869","0","3193","1227","3193","3.6743383199079402"
"1","0.3","15000","1","30","0.3","0.4","0","22","22","860","0","3157","1263","3157","3.6709302325581397"
"1","0.3","15000","1","30","0.3","0.4","0","23","23","856","0","3146","1274","3146","3.675233644859813"
"1","0.3","15000","1","30","0.3","0.4","0","24","24","852","0","3133","1287","3133","3.677230046948357"
"1","0.3","15000","1","30","0.3","0.4","0","25","25","851","0","3132","1288","3132","3.680376028202115"
"1","0.3","15000","1","30","0.3","0.4","0","26","26","848","0","3117","1303","3117","3.6757075471698113"
"1","0.3","15000","1","30","0.3","0.4","0","27","27","845","0","3108","1312","3108","3.67810650887574"
"1","0.3","15000","1","30","0.3","0.4","0","28","28","838","0","3083","1337","3083","3.678997613365155"
"1","0.3","15000","1","30","0.3","0.4","0","29","29","834","0","3072","1348","3072","3.683453237410072"
"1","0.3","15000","1","30","0.3","0.4","0","30","30","827","0","3038","1382","3038","3.6735187424425635"
"1","0.3","15000","1","30","0.3","0.4","0","31","31","818","0","3004","1416","3004","3.6723716381418092"
"1","0.3","15000","1","30","0.3","0.4","0","32","32","812","0","2982","1438","2982","3.6724137931034484"
"1","0.3","15000","1","30","0.3","0.4","0","33","33","808","0","2970","1450","2970","3.6757425742574257"
"1","0.3","15000","1","30","0.3","0.4","0","34","34","806","0","2961","1459","2961","3.673697270471464"
"1","0.3","15000","1","30","0.3","0.4","0","35","35","804","0","2955","1465","2955","3.675373134328358"
"1","0.3","15000","1","30","0.3","0.4","0","36","36","801","0","2943","1477","2943","3.6741573033707864"
"1","0.3","15000","1","30","0.3","0.4","0","37","37","799","0","2934","1486","2934","3.672090112640801"
"1","0.3","15000","1","30","0.3","0.4","0","38","38","793","0","2913","1507","2913","3.673392181588903"
"1","0.3","15000","1","30","0.3","0.4","0","39","39","787","0","2889","1531","2889","3.670902160101652"
"1","0.3","15000","1","30","0.3","0.4","0","40","40","786","0","2887","1533","2887","3.673027989821883"
"1","0.3","15000","1","30","0.3","0.4","0","41","41","783","0","2876","1544","2876","3.6730523627075353"
"1","0.3","15000","1","30","0.3","0.4","0","42","42","776","0","2854","1566","2854","3.6778350515463916"
"1","0.3","15000","1","30","0.3","0.4","0","43","43","773","0","2840","1580","2840","3.6739974126778785"
"1","0.3","15000","1","30","0.3","0.4","0","44","44","766","0","2808","1612","2808","3.6657963446475197"
"1","0.3","15000","1","30","0.3","0.4","0","45","45","760","0","2784","1636","2784","3.663157894736842"
"1","0.3","15000","1","30","0.3","0.4","0","46","46","755","0","2766","1654","2766","3.6635761589403972"
"1","0.3","15000","1","30","0.3","0.4","0","47","47","751","0","2755","1665","2755","3.6684420772303596"
"1","0.3","15000","1","30","0.3","0.4","0","48","48","749","0","2745","1675","2745","3.664886515353805"
"1","0.3","15000","1","30","0.3","0.4","0","49","49","747","0","2739","1681","2739","3.6666666666666665"
"1","0.3","15000","1","30","0.3","0.4","0","50","50","742","0","2720","1700","2720","3.665768194070081"
"1","0.3","15000","1","30","0.3","0.4","0","51","51","739","0","2709","1711","2709","3.665764546684709"
"1","0.3","15000","1","30","0.3","0.4","0","52","52","738","0","2704","1716","2704","3.6639566395663956"
"1","0.3","15000","1","30","0.3","0.4","0","53","53","733","0","2686","1734","2686","3.6643929058663027"
"1","0.3","15000","1","30","0.3","0.4","0","54","54","729","0","2669","1751","2669","3.6611796982167353"
"1","0.3","15000","1","30","0.3","0.4","0","55","55","728","0","2664","1756","2664","3.659340659340659"
"1","0.3","15000","1","30","0.3","0.4","0","56","56","722","0","2646","1774","2646","3.664819944598338"
"1","0.3","15000","1","30","0.3","0.4","0","57","57","719","0","2635","1785","2635","3.6648122392211406"
"1","0.3","15000","1","30","0.3","0.4","0","58","58","715","0","2619","1801","2619","3.662937062937063"
"1","0.3","15000","1","30","0.3","0.4","0","59","59","707","0","2583","1837","2583","3.6534653465346536"
"1","0.3","15000","1","30","0.3","0.4","0","60","60","697","0","2555","1865","2555","3.6657101865136297"
"1","0.3","15000","1","30","0.3","0.4","0","61","61","693","0","2540","1880","2540","3.665223665223665"
"1","0.3","15000","1","30","0.3","0.4","0","62","62","684","0","2510","1910","2510","3.6695906432748537"
"1","0.3","15000","1","30","0.3","0.4","0","63","63","682","0","2500","1920","2500","3.665689149560117"
"1","0.3","15000","1","30","0.3","0.4","0","64","64","676","0","2483","1937","2483","3.673076923076923"
"1","0.3","15000","1","30","0.3","0.4","0","65","65","670","0","2460","1960","2460","3.671641791044776"
"1","0.3","15000","1","30","0.3","0.4","0","66","66","664","0","2443","1977","2443","3.6792168674698793"
"1","0.3","15000","1","30","0.3","0.4","0","67","67","659","0","2427","1993","2427","3.6828528072837634"
"1","0.3","15000","1","30","0.3","0.4","0","68","68","654","0","2407","2013","2407","3.680428134556575"
"1","0.3","15000","1","30","0.3","0.4","0","69","69","650","0","2392","2028","2392","3.68"
"1","0.3","15000","1","30","0.3","0.4","0","70","70","647","0","2381","2039","2381","3.6800618238021636"
"1","0.3","15000","1","30","0.3","0.4","0","71","71","644","0","2369","2051","2369","3.6785714285714284"
"1","0.3","15000","1","30","0.3","0.4","0","72","72","643","0","2365","2055","2365","3.6780715396578536"
"1","0.3","15000","1","30","0.3","0.4","0","73","73","637","0","2341","2079","2341","3.675039246467818"
"1","0.3","15000","1","30","0.3","0.4","0","74","74","630","0","2311","2109","2311","3.668253968253968"
"1","0.3","15000","1","30","0.3","0.4","0","75","75","627","0","2308","2112","2308","3.6810207336523124"
"1","0.3","15000","1","30","0.3","0.4","0","76","76","1510","316","5500","2124","5184","3.433112582781457"
"1","0.3","15000","1","30","0.3","0.4","0","77","77","1496","311","5441","2183","5130","3.429144385026738"
"1","0.3","15000","1","30","0.3","0.4","0","78","78","1478","300","5384","2240","5084","3.4397834912043304"
"1","0.3","15000","1","30","0.3","0.4","0","79","79","1461","294","5341","2283","5047","3.4544832306639286"
"1","0.3","15000","1","30","0.3","0.4","0","80","80","1446","280","5273","2351","4993","3.4529737206085755"
"1","0.3","15000","1","30","0.3","0.4","0","81","81","1430","280","5222","2402","4942","3.4559440559440557"
"1","0.3","15000","1","30","0.3","0.4","0","82","82","1419","279","5185","2439","4906","3.4573643410852712"
"1","0.3","15000","1","30","0.3","0.4","0","83","83","1401","250","5095","2529","4845","3.4582441113490363"
"1","0.3","15000","1","30","0.3","0.4","0","84","84","1392","226","5046","2578","4820","3.4626436781609193"
"1","0.3","15000","1","30","0.3","0.4","0","85","85","1380","211","4990","2634","4779","3.4630434782608694"
"1","0.3","15000","1","30","0.3","0.4","0","86","86","1373","209","4967","2657","4758","3.4654042243262926"
"1","0.3","15000","1","30","0.3","0.4","0","87","87","1365","194","4922","2702","4728","3.463736263736264"
"1","0.3","15000","1","30","0.3","0.4","0","88","88","1362","178","4893","2731","4715","3.4618208516886932"
"1","0.3","15000","1","30","0.3","0.4","0","89","89","1352","160","4840","2784","4680","3.4615384615384617"
"1","0.3","15000","1","30","0.3","0.4","0","90","90","1341","143","4787","2837","4644","3.4630872483221475"
"1","0.3","15000","1","30","0.3","0.4","0","91","91","1334","129","4753","2871","4624","3.4662668665667167"
"1","0.3","15000","1","30","0.3","0.4","0","92","92","1328","106","4712","2912","4606","3.4683734939759034"
"1","0.3","15000","1","30","0.3","0.4","0","93","93","1321","87","4668","2956","4581","3.4678274034822105"
"1","0.3","15000","1","30","0.3","0.4","0","94","94","1315","74","4637","2987","4563","3.469961977186312"
"1","0.3","15000","1","30","0.3","0.4","0","95","95","1308","22","4561","3063","4539","3.470183486238532"
"1","0.3","15000","1","30","0.3","0.4","0","96","96","1303","0","4520","3104","4520","3.4689178818112048"
"1","0.3","15000","1","30","0.3","0.4","0","97","97","1297","0","4501","3123","4501","3.4703161141094836"
