"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"car_share2"
"11/25/2024 19:38:31:968 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","0.3","0.3","0.06","0","0","0","0","0","0","0","0"
"1","0.3","15000","1","30","0.3","0.3","0.06","1","1","2173","492","4417","10","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","2","2","2173","478","4403","24","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","3","3","2173","470","4395","32","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","4","4","2173","460","4385","42","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","5","5","2173","460","4385","42","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","6","6","2173","447","4372","55","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","7","7","2173","435","4360","67","3925","1.806258628624022"
"1","0.3","15000","1","30","0.3","0.3","0.06","8","8","2172","435","4358","69","3923","1.8061694290976058"
"1","0.3","15000","1","30","0.3","0.3","0.06","9","9","2172","435","4358","69","3923","1.8061694290976058"
"1","0.3","15000","1","30","0.3","0.3","0.06","10","10","2172","421","4344","83","3923","1.8061694290976058"
"1","0.3","15000","1","30","0.3","0.3","0.06","11","11","2172","403","4326","101","3923","1.8061694290976058"
"1","0.3","15000","1","30","0.3","0.3","0.06","12","12","2167","368","4281","146","3913","1.8057221965851407"
"1","0.3","15000","1","30","0.3","0.3","0.06","13","13","2167","352","4265","162","3913","1.8057221965851407"
"1","0.3","15000","1","30","0.3","0.3","0.06","14","14","2167","340","4253","174","3913","1.8057221965851407"
"1","0.3","15000","1","30","0.3","0.3","0.06","15","15","2167","340","4253","174","3913","1.8057221965851407"
"1","0.3","15000","1","30","0.3","0.3","0.06","16","16","2166","320","4231","196","3911","1.8056325023084026"
"1","0.3","15000","1","30","0.3","0.3","0.06","17","17","2166","299","4210","217","3911","1.8056325023084026"
"1","0.3","15000","1","30","0.3","0.3","0.06","18","18","2166","282","4193","234","3911","1.8056325023084026"
"1","0.3","15000","1","30","0.3","0.3","0.06","19","19","2164","263","4170","257","3907","1.805452865064695"
"1","0.3","15000","1","30","0.3","0.3","0.06","20","20","2163","230","4135","292","3905","1.8053629218677762"
"1","0.3","15000","1","30","0.3","0.3","0.06","21","21","2161","227","4129","298","3902","1.8056455344747802"
"1","0.3","15000","1","30","0.3","0.3","0.06","22","22","2159","181","4080","347","3899","1.8059286706808708"
"1","0.3","15000","1","30","0.3","0.3","0.06","23","23","2158","171","4068","359","3897","1.8058387395736792"
"1","0.3","15000","1","30","0.3","0.3","0.06","24","24","2156","136","4029","398","3893","1.8056586270871986"
"1","0.3","15000","1","30","0.3","0.3","0.06","25","25","2153","121","4009","418","3888","1.8058522991175106"
"1","0.3","15000","1","30","0.3","0.3","0.06","26","26","2151","79","3964","463","3885","1.806136680613668"
"1","0.3","15000","1","30","0.3","0.3","0.06","27","27","2151","42","3927","500","3885","1.806136680613668"
"1","0.3","15000","1","30","0.3","0.3","0.06","28","28","2150","0","3883","544","3883","1.806046511627907"
"1","0.3","15000","1","30","0.3","0.3","0.06","29","29","2149","0","3882","545","3882","1.806421591437878"
"1","0.3","15000","1","30","0.3","0.3","0.06","30","30","2147","0","3878","549","3878","1.8062412668840242"
