"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"walking"
"11/27/2024 16:34:27:442 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"5","0.3","15000","2.4","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"6","0.3","15000","2.5","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"2","0.3","15000","2.1","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"3","0.3","15000","2.2","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"11","0.3","15000","3","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"7","0.3","15000","2.6","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"9","0.3","15000","2.8","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"8","0.3","15000","2.7","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"10","0.3","15000","2.9","30","0.3","0.3","0.1","0","0","0","0","0","0","0","0"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","1","1","634","2151","4424","8","2273","3.585173501577287"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","2","2","634","2140","4413","19","2273","3.585173501577287"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","3","3","634","2131","4404","28","2273","3.585173501577287"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","4","4","634","2127","4400","32","2273","3.585173501577287"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","5","5","632","2127","4391","41","2264","3.5822784810126582"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","6","6","631","2116","4375","57","2259","3.5800316957210776"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","7","7","627","2105","4350","82","2245","3.580542264752791"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","8","8","624","2105","4339","93","2234","3.5801282051282053"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","9","9","621","2105","4332","100","2227","3.5861513687600644"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","10","10","617","2087","4302","130","2215","3.5899513776337115"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","11","11","615","2061","4267","165","2206","3.586991869918699"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","12","12","611","2030","4224","208","2194","3.590834697217676"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","13","13","611","2016","4210","222","2194","3.590834697217676"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","14","14","610","2010","4201","231","2191","3.591803278688525"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","15","15","606","2010","4186","246","2176","3.5907590759075907"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","16","16","604","1992","4161","271","2169","3.5910596026490067"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","17","17","600","1968","4124","308","2156","3.5933333333333333"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","18","18","597","1946","4094","338","2148","3.5979899497487438"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","19","19","596","1923","4070","362","2147","3.6023489932885906"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","20","20","595","1890","4032","400","2142","3.6"
"4","0.3","15000","2.3","30","0.3","0.3","0.1","21","21","592","1885","4018","414","2133","3.6030405405405403"
