"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"tick_res_1"
"11/25/2024 20:18:31:996 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","1","30","1","0.3","0","0","0","0","0","0","0","0","0"
"1","0.3","15000","1","30","1","0.3","0","1","1","2874","1516","14874","106","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","2","2","2874","1428","14786","194","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","3","3","2874","1368","14726","254","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","4","4","2874","1103","14461","519","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","5","5","2874","969","14327","653","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","6","6","2874","669","14027","953","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","7","7","2874","446","13804","1176","13358","4.647877522616562"
"1","0.3","15000","1","30","1","0.3","0","8","8","2872","117","13466","1514","13349","4.647980501392758"
"1","0.3","15000","1","30","1","0.3","0","9","9","2871","0","13344","1636","13344","4.6478578892372"
"1","0.3","15000","1","30","1","0.3","0","10","10","2870","0","13339","1641","13339","4.647735191637631"
"1","0.3","15000","1","30","1","0.3","0","11","11","2868","0","13329","1651","13329","4.647489539748954"
"1","0.3","15000","1","30","1","0.3","0","12","12","2867","0","13327","1653","13327","4.648412975235438"
"1","0.3","15000","1","30","1","0.3","0","13","13","2863","0","13311","1669","13311","4.6493188962626615"
"1","0.3","15000","1","30","1","0.3","0","14","14","2858","0","13289","1691","13289","4.649755073477957"
"1","0.3","15000","1","30","1","0.3","0","15","15","2854","0","13275","1705","13275","4.651366503153469"
"1","0.3","15000","1","30","1","0.3","0","16","16","2849","0","13252","1728","13252","4.651456651456652"
"1","0.3","15000","1","30","1","0.3","0","17","17","2847","0","13245","1735","13245","4.652265542676502"
"1","0.3","15000","1","30","1","0.3","0","18","18","2842","0","13224","1756","13224","4.653061224489796"
"1","0.3","15000","1","30","1","0.3","0","19","19","2840","0","13214","1766","13214","4.652816901408451"
"1","0.3","15000","1","30","1","0.3","0","20","20","2840","0","13214","1766","13214","4.652816901408451"
"1","0.3","15000","1","30","1","0.3","0","21","21","2840","0","13214","1766","13214","4.652816901408451"
"1","0.3","15000","1","30","1","0.3","0","22","22","2836","0","13194","1786","13194","4.652327221438646"
"1","0.3","15000","1","30","1","0.3","0","23","23","2833","0","13179","1801","13179","4.651959054006354"
"1","0.3","15000","1","30","1","0.3","0","24","24","2830","0","13164","1816","13164","4.651590106007067"
"1","0.3","15000","1","30","1","0.3","0","25","25","2826","0","13144","1836","13144","4.6510969568294405"
"1","0.3","15000","1","30","1","0.3","0","26","26","2824","0","13134","1846","13134","4.65084985835694"
"1","0.3","15000","1","30","1","0.3","0","27","27","2820","0","13114","1866","13114","4.650354609929078"
"1","0.3","15000","1","30","1","0.3","0","28","28","2817","0","13104","1876","13104","4.651757188498403"
"1","0.3","15000","1","30","1","0.3","0","29","29","2812","0","13083","1897","13083","4.6525604551920345"
"1","0.3","15000","1","30","1","0.3","0","30","30","2806","0","13053","1927","13053","4.651817533856023"
"1","0.3","15000","1","30","1","0.3","0","31","31","2800","0","13023","1957","13023","4.651071428571429"
"1","0.3","15000","1","30","1","0.3","0","32","32","2795","0","12999","1981","12999","4.650805008944544"
"1","0.3","15000","1","30","1","0.3","0","33","33","2790","0","12978","2002","12978","4.651612903225806"
"1","0.3","15000","1","30","1","0.3","0","34","34","2784","0","12948","2032","12948","4.650862068965517"
"1","0.3","15000","1","30","1","0.3","0","35","35","2780","0","12930","2050","12930","4.651079136690647"
"1","0.3","15000","1","30","1","0.3","0","36","36","2774","0","12900","2080","12900","4.650324441240087"
"1","0.3","15000","1","30","1","0.3","0","37","37","2771","0","12885","2095","12885","4.649945867917719"
"1","0.3","15000","1","30","1","0.3","0","38","38","2765","0","12855","2125","12855","4.649186256781194"
