"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/21/2024 20:56:27:702 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","over-break-p","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","0","0","0","0","0","0","0","0"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","1","1","1228","0","3549","14","3549","2.8900651465798046"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","2","2","1225","0","3540","23","3540","2.889795918367347"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","3","3","1222","0","3529","34","3529","2.8878887070376433"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","4","4","1220","0","3523","40","3523","2.887704918032787"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","5","5","1217","0","3515","48","3515","2.8882497945768284"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","6","6","1215","0","3513","50","3513","2.891358024691358"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","7","7","1210","0","3500","63","3500","2.8925619834710745"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","8","8","1204","0","3484","79","3484","2.893687707641196"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","9","9","1204","0","3484","79","3484","2.893687707641196"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","10","10","1199","0","3469","94","3469","2.8932443703085906"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","11","11","1196","0","3460","103","3460","2.8929765886287626"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","12","12","1193","0","3456","107","3456","2.8968985750209555"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","13","13","1190","0","3447","116","3447","2.896638655462185"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","14","14","1187","0","3439","124","3439","2.8972198820556025"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","15","15","1184","0","3429","134","3429","2.896114864864865"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","16","16","1181","0","3418","145","3418","2.8941574936494496"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","17","17","1180","0","3413","150","3413","2.892372881355932"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","18","18","1179","0","3408","155","3408","2.89058524173028"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","19","19","1177","0","3398","165","3398","2.8870008496176722"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","20","20","1177","0","3398","165","3398","2.8870008496176722"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","21","21","1173","0","3383","180","3383","2.8840579710144927"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","22","22","1171","0","3375","188","3375","2.8821520068317676"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","23","23","1167","0","3361","202","3361","2.8800342759211652"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","24","24","1167","0","3361","202","3361","2.8800342759211652"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","25","25","1165","0","3354","209","3354","2.8789699570815452"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","26","26","1161","0","3345","218","3345","2.8811369509043927"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","27","27","1158","0","3332","231","3332","2.8773747841105353"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","28","28","1152","0","3309","254","3309","2.8723958333333335"
"1","0.06","0.3","15000","0.3","30","0.3","0.25","29","29","1148","0","3293","270","3293","2.8684668989547037"
