car_id,passengers,ideal_time,actual_time,start_tick,end_tick
20824,5,0.8499999999999999,0.5,0,1
19262,2,0.8499999999999999,0.5,0,1
1788,2,0.8499999999999999,0.5,0,1
21726,5,0.8499999999999999,0.75,0,2
25882,5,0.9799999999999999,0.75,0,2
29510,1,0.9799999999999999,0.75,0,2
31240,2,1.1275,1.0,0,3
20247,4,0.9349999999999998,1.0,0,3
21802,3,0.9375,1.25,0,4
6718,3,1.1275,1.25,0,4
9585,2,1.7075,1.25,0,4
27367,2,1.3775,1.5,0,5
31787,0,1.0675,1.5,0,5
17862,0,1.1249999999999998,1.75,0,6
30801,0,1.4874999999999998,1.75,0,6
25406,5,1.3775,1.75,0,6
11989,5,1.3974999999999997,1.75,0,6
3597,3,1.3974999999999997,1.75,0,6
29662,4,1.44,2.0,0,7
15375,2,1.3624999999999998,2.0,0,7
15488,1,1.3875,2.0,0,7
15262,5,1.7075,2.0,0,7
26235,4,1.5675,2.0,0,7
23709,0,1.325,2.0,0,7
2123,5,1.44,2.5,0,9
23382,2,2.1325,2.5,0,9
22511,1,2.2024999999999997,2.5,0,9
14013,3,1.5125,2.5,0,9
29789,4,1.7549999999999997,2.5,0,9
23967,2,1.44,2.75,0,10
24184,2,1.5424999999999998,2.75,0,10
15612,5,1.5125,2.75,0,10
19767,0,1.515,3.0,0,11
27280,2,1.7525,3.0,0,11
7694,2,2.29,3.0,0,11
10689,0,1.355,3.25,0,12
11331,4,1.4874999999999998,3.25,0,12
16389,5,1.4974999999999998,3.25,0,12
16590,5,1.4974999999999998,3.5,0,13
10169,1,1.4974999999999998,3.5,0,13
15739,2,1.4974999999999998,3.5,0,13
5820,3,1.795,3.75,0,14
1201,5,1.7525,3.75,0,14
11509,2,3.0600000000000005,3.75,0,14
29460,3,1.585,4.0,0,15
19190,5,3.0600000000000005,4.0,0,15
32501,3,2.3449999999999998,4.0,0,15
1593,5,1.8424999999999998,4.25,0,16
13657,5,1.795,4.5,0,17
23347,5,2.2249999999999996,4.75,0,18
6544,5,1.6899999999999997,4.75,0,18
23094,4,2.255,5.25,0,20
4992,4,2.0225,5.25,0,20
20646,5,1.8475000000000001,5.25,0,20
5030,2,1.6899999999999997,5.25,0,20
6931,3,1.4075,5.5,0,21
31323,5,1.6899999999999997,5.5,0,21
8062,1,1.8475000000000001,5.75,0,22
3915,5,2.4725,5.75,0,22
8693,5,2.2024999999999997,5.75,0,22
5078,3,1.6899999999999997,5.75,0,22
16269,5,1.3624999999999998,6.25,0,24
5807,2,3.2874999999999996,6.25,0,24
2806,4,2.3925,6.5,0,25
2895,1,1.9024999999999999,6.5,0,25
23847,2,2.4725,6.5,0,25
6558,2,1.6899999999999997,6.5,0,25
2890,5,1.585,6.75,0,26
3380,3,2.5625,6.75,0,26
181,5,2.3449999999999998,6.75,0,26
27596,5,1.9024999999999999,7.0,0,27
20871,2,1.7974999999999999,7.0,0,27
25979,5,1.6899999999999997,7.0,0,27
17432,3,1.8574999999999997,7.0,0,27
31849,4,1.8574999999999997,7.0,0,27
5736,4,1.9549999999999998,7.0,0,27
29926,5,2.5249999999999995,7.25,0,28
23871,4,2.1975,7.25,0,28
15001,5,1.8574999999999997,7.25,0,28
20324,2,1.9574999999999998,7.25,0,28
14757,5,2.6975,7.5,0,29
17115,1,2.6975,7.5,0,29
8115,4,2.5249999999999995,7.5,0,29
17302,0,2.329999999999999,7.5,0,29
24111,0,1.93,7.75,0,30
26624,5,1.7974999999999999,7.75,0,30
10266,5,2.8949999999999996,7.75,0,30
7546,1,2.8949999999999996,7.75,0,30
31788,0,2.375,8.0,0,31
8483,0,2.3525,8.0,0,31
19595,3,1.9825,8.0,0,31
18130,4,2.0774999999999997,8.0,0,31
21985,2,2.235,8.25,0,32
19962,2,2.494999999999999,8.5,0,33
2071,4,2.925,8.75,0,34
19976,4,2.34,8.75,0,34
1882,0,2.9425,8.75,0,34
29590,1,2.8025,9.0,0,35
26935,0,2.705,9.0,0,35
5120,5,3.1224999999999996,9.25,0,36
4042,0,1.9825,9.5,0,37
27481,3,3.2874999999999996,9.5,0,37
18198,0,2.4025,9.5,0,37
5117,3,2.4399999999999995,9.5,0,37
32559,5,2.7024999999999997,9.75,0,38
24422,5,2.4399999999999995,9.75,0,38
18912,4,2.5625,10.0,0,39
25982,2,2.5625,10.0,0,39
32156,0,2.7024999999999997,10.0,0,39
16272,2,2.4825,10.5,0,41
18019,5,2.625,10.5,0,41
32037,0,3.6449999999999996,10.5,0,41
16386,0,3.6449999999999996,10.5,0,41
24790,5,2.5625,11.0,0,43
11362,5,3.2874999999999996,11.0,0,43
22031,1,2.625,11.0,0,43
22322,4,2.9350000000000005,11.0,0,43
11000,2,2.4850000000000003,11.25,0,44
9897,3,2.6674999999999995,11.25,0,44
2228,1,2.7749999999999995,11.25,0,44
14547,2,3.045,11.25,0,44
26616,2,3.5549999999999997,11.25,0,44
32166,3,2.6950000000000003,11.5,0,45
15015,3,2.6674999999999995,11.5,0,45
29973,5,3.379999999999999,11.5,0,45
15439,2,2.6950000000000003,11.75,0,46
16459,4,2.8674999999999997,11.75,0,46
4328,1,2.7024999999999997,11.75,0,46
26925,3,3.1224999999999996,11.75,0,46
2656,1,3.1224999999999996,11.75,0,46
25314,3,3.379999999999999,11.75,0,46
8089,5,3.6449999999999996,11.75,0,46
31690,5,1.9825,12.25,0,48
1558,0,2.1799999999999997,12.5,0,49
25229,0,3.01,13.0,0,51
21044,2,2.1475,13.5,0,53
9389,4,1.8875,13.5,0,53
26797,3,4.279999999999999,13.5,0,53
3058,0,4.512499999999999,13.5,0,53
27269,0,2.7749999999999995,13.5,0,53
18534,4,3.3850000000000007,14.25,0,56
19814,5,4.279999999999999,14.5,0,57
20261,2,3.2325,14.5,0,57
17401,0,2.49,15.0,0,59
22933,2,3.1425,15.0,0,59
29351,3,1.9049999999999998,15.25,0,60
1607,2,5.6125,15.25,0,60
5154,3,4.4025,15.75,0,62
16759,0,3.0200000000000005,15.75,0,62
19764,5,5.6125,16.0,0,63
13385,1,3.8625000000000007,16.25,0,64
3015,0,3.045,16.75,0,66
13254,0,4.4025,17.0,0,67
1591,5,2.9350000000000005,17.0,0,67
14019,5,2.79,17.25,0,68
14992,3,1.8424999999999998,17.75,0,70
909,5,1.9049999999999998,18.0,0,71
25185,4,5.752499999999999,18.25,0,72
12655,5,6.6499999999999995,18.25,0,72
31865,0,3.7150000000000007,18.5,0,73
8588,2,2.4850000000000003,18.5,0,73
18621,5,2.0949999999999998,18.75,0,74
12661,4,2.0799999999999996,18.75,0,74
27061,1,6.6499999999999995,18.75,0,74
1051,2,3.897500000000001,18.75,0,74
4216,3,3.0675,19.0,0,75
28876,2,2.2024999999999997,19.0,0,75
26313,2,2.2824999999999998,19.25,0,76
3642,0,2.385,19.5,0,77
15187,4,3.1774999999999993,19.75,0,78
7277,1,3.995,19.75,0,78
15477,1,3.3950000000000005,19.75,0,78
14758,5,3.3850000000000007,19.75,0,78
16998,1,3.9775,20.0,0,79
20753,5,2.2824999999999998,20.25,0,80
30310,5,2.3100000000000005,20.5,0,81
6,5,2.6950000000000003,20.5,0,81
11460,5,5.752499999999999,20.5,0,81
23736,5,2.4850000000000003,20.75,0,82
10033,1,2.79,21.5,0,85
1874,5,3.205,21.5,0,85
9981,3,2.3100000000000005,21.75,0,86
14106,5,3.3950000000000005,21.75,0,86
19120,5,3.0200000000000005,22.0,0,87
31420,3,2.5925000000000002,22.25,0,88
8486,0,4.765,22.25,0,88
25895,5,3.2325,22.5,0,89
13401,0,4.359999999999999,23.25,0,92
19864,0,3.5225,23.75,0,94
14825,0,3.4674999999999994,24.0,0,95
24512,4,3.38,24.0,0,95
32570,2,3.3775000000000004,24.25,0,96
27070,4,4.7875,24.5,0,97
32632,3,3.0425000000000004,24.75,0,98
