car_id,passengers,ideal_time,actual_time,start_tick,end_tick
30959,1,1.0675,0.25,0,0
12141,5,0.8499999999999999,0.5,0,1
6814,5,0.8499999999999999,0.5,0,1
20982,1,0.8499999999999999,0.5,0,1
9658,3,0.8499999999999999,0.75,0,2
24741,3,0.9799999999999999,0.75,0,2
18222,4,0.9349999999999998,0.75,0,2
10296,0,1.1275,0.75,0,2
13764,0,0.9375,1.0,0,3
19745,4,1.1275,1.0,0,3
30145,5,0.9349999999999998,1.0,0,3
24545,1,1.3875,1.0,0,3
21648,5,1.0675,1.0,0,3
5137,3,1.1249999999999998,1.25,0,4
13421,5,0.9799999999999999,1.25,0,4
510,3,1.325,1.25,0,4
8150,5,1.3875,1.5,0,5
2686,0,1.3974999999999997,1.5,0,5
32230,5,1.5125,1.5,0,5
18310,2,1.5424999999999998,1.75,0,6
4792,4,1.5675,2.0,0,7
21168,4,1.3775,2.0,0,7
1636,1,1.5125,2.0,0,7
10126,3,1.7525,2.5,0,9
28038,4,1.7075,2.5,0,9
26870,1,2.1325,2.75,0,10
6273,4,1.795,3.0,0,11
30189,5,2.1325,3.0,0,11
50,4,1.7549999999999997,3.0,0,11
20059,4,1.515,3.25,0,12
32502,0,1.4874999999999998,3.25,0,12
9381,4,1.8574999999999997,3.25,0,12
13142,2,2.29,3.5,0,13
6242,0,2.1975,3.5,0,13
17338,3,1.8475000000000001,3.75,0,14
18518,5,1.4874999999999998,3.75,0,14
23867,0,1.4974999999999998,3.75,0,14
12158,5,1.4974999999999998,3.75,0,14
25520,2,1.4974999999999998,3.75,0,14
30805,0,2.3449999999999998,3.75,0,14
9104,1,1.4874999999999998,4.0,0,15
18154,4,1.3624999999999998,4.25,0,16
3475,0,1.355,4.25,0,16
9172,1,1.4075,4.25,0,16
17143,5,1.44,4.5,0,17
24213,3,1.8574999999999997,4.75,0,18
15185,2,1.585,5.0,0,19
19547,4,3.2874999999999996,5.0,0,19
11216,5,2.8949999999999996,5.0,0,19
18933,3,2.8949999999999996,5.0,0,19
22170,2,2.2024999999999997,5.0,0,19
6907,0,3.2874999999999996,5.25,0,20
25660,1,2.4725,5.25,0,20
1854,3,2.6975,5.25,0,20
25386,0,2.5249999999999995,5.25,0,20
13763,2,1.9574999999999998,5.25,0,20
31476,1,1.44,5.5,0,21
4482,4,1.44,5.5,0,21
29319,0,1.7974999999999999,5.5,0,21
3680,5,2.2024999999999997,5.5,0,21
15319,1,2.255,5.75,0,22
25672,5,1.8475000000000001,6.0,0,23
17542,5,1.6899999999999997,6.25,0,24
22832,1,1.6899999999999997,6.25,0,24
29616,5,1.6899999999999997,6.25,0,24
4414,4,1.9049999999999998,6.5,0,25
13260,5,2.255,6.5,0,25
14881,0,2.0225,6.5,0,25
23577,1,1.6899999999999997,6.5,0,25
24607,5,1.6899999999999997,6.5,0,25
15257,1,1.6899999999999997,6.5,0,25
19827,2,2.2824999999999998,6.75,0,26
7361,2,1.9825,6.75,0,26
10935,5,1.9574999999999998,6.75,0,26
14069,5,2.1799999999999997,7.0,0,27
32178,0,2.329999999999999,7.25,0,28
4977,3,2.5625,7.5,0,29
16724,5,2.0774999999999997,7.5,0,29
22564,3,2.0774999999999997,7.5,0,29
23105,0,1.9549999999999998,7.5,0,29
27106,2,2.9425,7.5,0,29
10182,5,2.4725,8.0,0,31
21462,1,1.93,8.25,0,32
26478,0,2.4399999999999995,8.25,0,32
2169,1,2.34,8.5,0,33
19453,5,2.235,8.5,0,33
