car_id,passengers,ideal_time,actual_time,start_tick,end_tick
5931,5,0.8499999999999999,0.5,0,1
30894,1,0.8499999999999999,0.5,0,1
6577,5,0.8499999999999999,0.5,0,1
32497,5,0.8499999999999999,0.5,0,1
28385,5,0.8499999999999999,0.5,0,1
3863,5,1.0675,0.5,0,1
28225,5,1.0675,0.5,0,1
1437,2,1.0675,0.5,0,1
29668,5,0.9349999999999998,0.75,0,2
24721,2,0.9349999999999998,0.75,0,2
8628,5,0.9375,1.0,0,3
26875,1,0.9375,1.0,0,3
7360,5,0.9799999999999999,1.25,0,4
16255,5,1.3875,1.25,0,4
32388,1,1.3875,1.25,0,4
5414,3,1.1275,1.25,0,4
22780,5,1.1275,1.5,0,5
17148,3,1.1275,1.5,0,5
32382,5,1.1275,1.5,0,5
24031,5,1.3775,1.75,0,6
26168,2,1.3775,1.75,0,6
27333,5,1.7549999999999997,1.75,0,6
26829,3,1.7549999999999997,1.75,0,6
2136,4,1.1249999999999998,2.0,0,7
6083,4,1.7075,2.0,0,7
16159,5,2.1325,2.25,0,8
21590,5,1.7075,2.25,0,8
1871,5,1.5675,2.25,0,8
17918,4,1.3974999999999997,2.25,0,8
31843,5,1.5675,2.75,0,10
26572,5,1.3974999999999997,2.75,0,10
10165,5,1.7525,3.25,0,12
15999,3,1.4075,3.25,0,12
24746,5,1.325,3.25,0,12
16459,5,1.325,3.25,0,12
1382,3,1.325,3.25,0,12
25605,3,1.795,3.5,0,13
10676,5,1.4075,3.5,0,13
10860,3,1.5125,3.5,0,13
27536,5,1.795,3.75,0,14
25458,4,1.5424999999999998,3.75,0,14
9869,5,1.5125,3.75,0,14
3730,5,1.6899999999999997,3.75,0,14
29403,4,1.6899999999999997,3.75,0,14
18222,2,1.585,4.0,0,15
20443,5,1.8475000000000001,4.0,0,15
28226,3,1.8475000000000001,4.0,0,15
18656,5,2.3449999999999998,4.0,0,15
28011,5,1.5424999999999998,4.0,0,15
992,5,1.6899999999999997,4.0,0,15
28945,2,1.6899999999999997,4.0,0,15
28774,5,1.585,4.25,0,16
12820,5,2.3449999999999998,4.25,0,16
13736,2,1.93,4.5,0,17
18208,5,2.1975,4.75,0,18
21756,5,2.1975,4.75,0,18
27144,2,2.1975,4.75,0,18
32338,5,2.0225,5.0,0,19
323,5,1.4874999999999998,5.25,0,20
14314,5,1.4874999999999998,5.25,0,20
7555,5,2.0225,5.5,0,21
14754,3,2.29,5.5,0,21
18374,5,1.8574999999999997,5.5,0,21
7248,5,1.4874999999999998,5.75,0,22
3465,2,1.4874999999999998,5.75,0,22
108,5,2.4725,5.75,0,22
8415,1,2.4725,5.75,0,22
1058,3,2.5249999999999995,5.75,0,22
2856,5,1.8574999999999997,5.75,0,22
24754,5,2.255,6.0,0,23
24496,3,2.255,6.0,0,23
27504,5,1.4874999999999998,6.0,0,23
13089,5,1.4974999999999998,6.0,0,23
12385,2,1.4974999999999998,6.0,0,23
16795,5,1.4974999999999998,6.0,0,23
17960,5,1.4974999999999998,6.0,0,23
2382,5,1.4974999999999998,6.0,0,23
2524,3,1.4974999999999998,6.0,0,23
13806,5,2.5249999999999995,6.0,0,23
8296,5,2.255,6.25,0,24
26257,5,1.44,6.5,0,25
28105,4,1.44,6.5,0,25
32253,2,2.2024999999999997,6.5,0,25
8972,3,1.44,6.75,0,26
11491,4,1.3624999999999998,6.75,0,26
21446,5,2.5249999999999995,6.75,0,26
14119,2,1.8574999999999997,6.75,0,26
1706,2,1.9574999999999998,6.75,0,26
21657,5,1.44,7.0,0,27
19707,5,2.2024999999999997,7.0,0,27
9518,5,2.2024999999999997,7.0,0,27
6248,5,1.8574999999999997,7.0,0,27
32186,5,1.9574999999999998,7.0,0,27
15118,5,2.29,7.25,0,28
7580,5,1.9549999999999998,7.5,0,29
16957,3,1.9549999999999998,7.5,0,29
14635,2,1.9049999999999998,7.75,0,30
14218,3,2.0774999999999997,7.75,0,30
144,3,2.329999999999999,7.75,0,30
30737,5,1.9049999999999998,8.0,0,31
481,5,3.0600000000000005,8.0,0,31
28978,5,2.625,8.0,0,31
1805,1,3.0600000000000005,8.25,0,32
17569,5,2.625,8.25,0,32
4762,5,2.6975,8.25,0,32
