"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"car_share_2"
"11/24/2024 19:39:31:737 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","0","0","0","0","0","0","0","0"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","1","1","2488","0","4545","8","4545","1.8267684887459807"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","2","2","2480","0","4530","23","4530","1.8266129032258065"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","3","3","2480","0","4530","23","4530","1.8266129032258065"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","4","4","2478","0","4526","27","4526","1.8264729620661824"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","5","5","2476","0","4522","31","4522","1.8263327948303716"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","6","6","2471","0","4512","41","4512","1.8259813840550385"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","7","7","2469","0","4509","44","4509","1.8262454434993924"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","8","8","2460","0","4492","61","4492","1.8260162601626015"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","9","9","2458","0","4488","65","4488","1.825874694873881"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","10","10","2456","0","4485","68","4485","1.8261400651465798"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","11","11","2452","0","4478","75","4478","1.8262642740619903"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","12","12","2443","0","4461","92","4461","1.8260335652885795"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","13","13","2441","0","4457","96","4457","1.8258910282671037"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","14","14","2440","0","4456","97","4456","1.8262295081967213"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","15","15","2440","0","4456","97","4456","1.8262295081967213"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","16","16","2437","0","4451","102","4451","1.8264259335248256"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","17","17","2433","0","4444","109","4444","1.8265515824085492"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","18","18","2429","0","4436","117","4436","1.8262659530671057"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","19","19","2423","0","4424","129","4424","1.8258357408171688"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","20","20","2423","0","4424","129","4424","1.8258357408171688"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","21","21","2423","0","4424","129","4424","1.8258357408171688"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","22","22","2422","0","4422","131","4422","1.8257638315441784"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","23","23","2421","0","4420","133","4420","1.8256918628665841"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","24","24","2420","0","4418","135","4418","1.8256198347107437"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","25","25","2415","0","4408","145","4408","1.8252587991718427"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","26","26","2414","0","4406","147","4406","1.8251864125932062"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","27","27","2412","0","4402","151","4402","1.8250414593698177"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","28","28","2412","0","4402","151","4402","1.8250414593698177"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","29","29","2411","0","4401","152","4401","1.8253836582330982"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","30","30","2408","0","4395","158","4395","1.8251661129568106"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","31","31","2407","0","4394","159","4394","1.8255089322808475"
"1","0.3","15000","0.3","30","0.3","0.3","0.06","32","32","2406","0","4392","161","4392","1.825436408977556"
