"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/24/2024 18:52:11:413 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","0","0","0","0","0","0","0","0"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","1","1","278","0","326","2","326","1.1726618705035972"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","2","2","278","0","326","2","326","1.1726618705035972"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","3","3","277","0","325","3","325","1.1732851985559567"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","4","4","277","0","325","3","325","1.1732851985559567"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","5","5","276","0","324","4","324","1.173913043478261"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","6","6","272","0","318","10","318","1.1691176470588236"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","7","7","271","0","317","11","317","1.169741697416974"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","8","8","269","0","315","13","315","1.171003717472119"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","9","9","266","0","312","16","312","1.1729323308270676"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","10","10","261","0","307","21","307","1.1762452107279693"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","11","11","260","0","306","22","306","1.176923076923077"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","12","12","258","0","304","24","304","1.178294573643411"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","13","13","257","0","303","25","303","1.178988326848249"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","14","14","254","0","298","30","298","1.1732283464566928"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","15","15","248","0","290","38","290","1.1693548387096775"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","16","16","246","0","288","40","288","1.170731707317073"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","17","17","245","0","287","41","287","1.1714285714285715"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","18","18","245","0","287","41","287","1.1714285714285715"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","19","19","244","0","286","42","286","1.1721311475409837"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","20","20","244","0","286","42","286","1.1721311475409837"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","21","21","244","0","286","42","286","1.1721311475409837"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","22","22","241","0","283","45","283","1.1742738589211619"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","23","23","238","0","278","50","278","1.1680672268907564"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","24","24","236","0","276","52","276","1.1694915254237288"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","25","25","236","0","276","52","276","1.1694915254237288"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","26","26","235","0","275","53","275","1.1702127659574468"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","27","27","234","0","274","54","274","1.170940170940171"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","28","28","232","0","272","56","272","1.1724137931034482"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","29","29","231","0","270","58","270","1.1688311688311688"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","30","30","229","0","266","62","266","1.1615720524017468"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","31","31","226","0","263","65","263","1.163716814159292"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","32","32","225","0","262","66","262","1.1644444444444444"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","33","33","222","0","258","70","258","1.162162162162162"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","34","34","222","0","258","70","258","1.162162162162162"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","35","35","222","0","258","70","258","1.162162162162162"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","36","36","220","0","255","73","255","1.1590909090909092"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","37","37","218","0","253","75","253","1.1605504587155964"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","38","38","217","0","252","76","252","1.1612903225806452"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","39","39","215","0","249","79","249","1.158139534883721"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","40","40","213","0","246","82","246","1.1549295774647887"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","41","41","209","0","242","86","242","1.1578947368421053"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","42","42","208","0","241","87","241","1.1586538461538463"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","43","43","205","0","238","90","238","1.1609756097560975"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","44","44","203","0","236","92","236","1.1625615763546797"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","45","45","202","0","235","93","235","1.1633663366336633"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","46","46","199","0","232","96","232","1.1658291457286432"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","47","47","198","0","231","97","231","1.1666666666666667"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","48","48","197","0","230","98","230","1.16751269035533"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","49","49","195","0","228","100","228","1.1692307692307693"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","50","50","194","0","227","101","227","1.1701030927835052"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","51","51","192","0","224","104","224","1.1666666666666667"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","52","52","191","0","223","105","223","1.1675392670157068"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","53","53","190","0","222","106","222","1.168421052631579"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","54","54","190","0","222","106","222","1.168421052631579"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","55","55","188","0","220","108","220","1.1702127659574468"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","56","56","187","0","218","110","218","1.1657754010695187"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","57","57","184","0","215","113","215","1.1684782608695652"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","58","58","183","0","214","114","214","1.169398907103825"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","59","59","179","0","207","121","207","1.1564245810055866"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","60","60","176","0","204","124","204","1.1590909090909092"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","61","61","175","0","203","125","203","1.16"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","62","62","169","0","197","131","197","1.165680473372781"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","63","63","168","0","196","132","196","1.1666666666666667"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","64","64","166","0","194","134","194","1.1686746987951808"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","65","65","166","0","194","134","194","1.1686746987951808"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","66","66","165","0","193","135","193","1.1696969696969697"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","67","67","164","0","192","136","192","1.170731707317073"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","68","68","162","0","190","138","190","1.1728395061728396"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","69","69","162","0","190","138","190","1.1728395061728396"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","70","70","161","0","189","139","189","1.173913043478261"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","71","71","159","0","187","141","187","1.1761006289308176"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","72","72","155","0","181","147","181","1.167741935483871"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","73","73","153","0","179","149","179","1.1699346405228759"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","74","74","150","0","175","153","175","1.1666666666666667"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","75","75","146","0","170","158","170","1.1643835616438356"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","76","76","144","0","168","160","168","1.1666666666666667"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","77","77","141","0","165","163","165","1.1702127659574468"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","78","78","140","0","164","164","164","1.1714285714285715"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","79","79","139","0","163","165","163","1.1726618705035972"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","80","80","136","0","158","170","158","1.161764705882353"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","81","81","136","0","158","170","158","1.161764705882353"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","82","82","134","0","156","172","156","1.164179104477612"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","83","83","134","0","156","172","156","1.164179104477612"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","84","84","132","0","153","175","153","1.1590909090909092"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","85","85","129","0","150","178","150","1.1627906976744187"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","86","86","127","0","148","180","148","1.1653543307086613"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","87","87","126","0","147","181","147","1.1666666666666667"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","88","88","124","0","145","183","145","1.1693548387096775"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","89","89","122","0","143","185","143","1.1721311475409837"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","90","90","121","0","142","186","142","1.1735537190082646"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","91","91","120","0","141","187","141","1.175"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","92","92","119","0","139","189","139","1.1680672268907564"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","93","93","116","0","133","195","133","1.146551724137931"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","94","94","115","0","132","196","132","1.1478260869565218"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","95","95","112","0","128","200","128","1.1428571428571428"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","96","96","111","0","127","201","127","1.1441441441441442"
"1","0.3","1000","0.3","30","0.3","0.25","0.06","97","97","108","0","124","204","124","1.1481481481481481"
