car_id,passengers,ideal_time,actual_time,start_tick,end_tick
3393,5,1.0675,0.25,0,0
29259,5,0.8499999999999999,0.5,0,1
28528,3,0.8499999999999999,0.5,0,1
11978,4,0.8499999999999999,0.5,0,1
8408,1,1.0675,0.75,0,2
22496,3,0.9375,1.0,0,3
21034,1,1.1275,1.0,0,3
17541,3,0.9799999999999999,1.0,0,3
19851,5,0.9349999999999998,1.0,0,3
10202,5,1.1275,1.0,0,3
25028,5,1.325,1.0,0,3
27714,3,1.325,1.0,0,3
7847,4,1.1249999999999998,1.25,0,4
31611,5,1.1275,1.25,0,4
16962,2,1.3875,1.75,0,6
28749,3,1.5675,1.75,0,6
26585,5,1.7075,2.0,0,7
27854,4,1.3775,2.0,0,7
31022,5,1.3974999999999997,2.25,0,8
1930,5,1.5424999999999998,2.25,0,8
11676,2,1.5424999999999998,2.25,0,8
16603,4,1.5125,2.25,0,8
11280,4,1.3624999999999998,2.5,0,9
16790,5,1.4874999999999998,2.5,0,9
29754,4,1.4974999999999998,2.5,0,9
9584,4,1.4974999999999998,2.5,0,9
31709,5,1.4874999999999998,2.75,0,10
15783,3,1.7525,3.0,0,11
17693,2,1.7549999999999997,3.0,0,11
8563,4,2.2024999999999997,3.25,0,12
20209,3,2.29,3.5,0,13
19067,4,1.6899999999999997,3.75,0,14
14344,5,1.355,4.0,0,15
17702,4,2.3449999999999998,4.0,0,15
26861,3,2.1975,4.0,0,15
23850,1,1.6899999999999997,4.0,0,15
18376,5,1.6899999999999997,4.0,0,15
13878,5,1.6899999999999997,4.0,0,15
14738,2,1.795,4.25,0,16
22002,5,1.795,4.5,0,17
24173,5,2.29,4.5,0,17
6476,5,2.1325,4.5,0,17
12324,4,1.8574999999999997,4.5,0,17
27200,2,1.355,4.75,0,18
17838,5,3.0600000000000005,4.75,0,18
10764,5,1.8574999999999997,4.75,0,18
11067,5,1.8574999999999997,4.75,0,18
21207,5,1.9549999999999998,4.75,0,18
19636,4,2.255,5.0,0,19
11316,3,2.0225,5.0,0,19
2569,3,1.4075,5.0,0,19
11966,4,1.8475000000000001,5.0,0,19
23380,1,3.0600000000000005,5.0,0,19
3209,4,2.235,5.25,0,20
18904,5,2.0774999999999997,5.5,0,21
26797,4,1.585,5.75,0,22
29972,2,1.9574999999999998,5.75,0,22
18761,5,2.329999999999999,5.75,0,22
556,2,2.329999999999999,5.75,0,22
31350,2,1.515,6.25,0,24
3040,1,2.8949999999999996,6.25,0,24
11047,4,2.6975,6.25,0,24
28401,5,1.9574999999999998,6.25,0,24
27294,3,2.4399999999999995,6.25,0,24
17151,5,2.8949999999999996,6.5,0,25
19162,4,2.5249999999999995,6.5,0,25
22922,5,1.44,6.75,0,26
31327,3,1.44,6.75,0,26
19528,4,2.705,6.75,0,26
5456,1,1.44,7.0,0,27
26164,1,3.2874999999999996,7.0,0,27
24130,5,3.2874999999999996,7.0,0,27
15788,4,1.7974999999999999,7.25,0,28
6611,1,1.8424999999999998,7.5,0,29
721,5,1.93,7.5,0,29
624,1,1.93,7.5,0,29
9225,3,2.34,7.5,0,29
30013,5,2.4399999999999995,7.5,0,29
13931,5,1.9049999999999998,7.75,0,30
12419,3,1.9049999999999998,7.75,0,30
26872,5,2.4725,7.75,0,30
18526,5,2.705,7.75,0,30
23368,5,2.9425,7.75,0,30
25278,2,2.9425,7.75,0,30
26739,4,3.6449999999999996,7.75,0,30
11339,5,1.9024999999999999,8.0,0,31
23791,5,3.2874999999999996,8.0,0,31
15639,4,3.6449999999999996,8.0,0,31
20243,1,1.9024999999999999,8.25,0,32
29207,4,2.1799999999999997,8.75,0,34
17594,2,1.8875,9.0,0,35
9220,1,3.2874999999999996,9.0,0,35
24007,1,2.8025,9.0,0,35
7202,3,2.4025,9.0,0,35
10544,5,2.925,9.25,0,36
23825,5,1.8424999999999998,9.5,0,37
2627,4,2.5625,9.5,0,37
5771,5,2.8025,9.5,0,37
16255,4,2.8674999999999997,9.5,0,37
7633,5,2.6674999999999995,9.75,0,38
13517,5,2.7024999999999997,9.75,0,38
9714,4,2.7024999999999997,10.0,0,39
