car_id,passengers,ideal_time,actual_time,start_tick,end_tick
31645,3,0.8499999999999999,0.25,0,0
17230,5,1.0675,0.25,0,0
6234,4,0.8499999999999999,0.5,0,1
5135,4,1.1275,0.75,0,2
25266,1,0.9799999999999999,0.75,0,2
6419,3,0.9349999999999998,0.75,0,2
24356,2,1.1275,0.75,0,2
23457,1,0.9375,1.0,0,3
13426,5,0.9799999999999999,1.0,0,3
13759,5,0.9349999999999998,1.0,0,3
15434,5,1.0675,1.0,0,3
7299,2,1.1249999999999998,1.25,0,4
20164,5,1.325,1.25,0,4
30980,1,1.325,1.25,0,4
28295,4,1.3875,1.75,0,6
5628,4,1.4874999999999998,1.75,0,6
11554,3,1.4874999999999998,1.75,0,6
15941,4,1.5675,1.75,0,6
5316,4,1.3974999999999997,1.75,0,6
6189,5,1.5424999999999998,1.75,0,6
19371,1,1.5424999999999998,1.75,0,6
22175,4,1.7075,2.0,0,7
3132,3,1.3775,2.0,0,7
15181,4,1.5125,2.0,0,7
32324,2,1.7525,2.75,0,10
9122,4,1.585,2.75,0,10
14317,3,1.4075,2.75,0,10
5759,5,1.795,3.0,0,11
27018,5,1.4075,3.0,0,11
15629,5,1.4974999999999998,3.0,0,11
21669,3,1.4974999999999998,3.0,0,11
5913,4,1.4974999999999998,3.25,0,12
23134,5,1.4974999999999998,3.25,0,12
13545,5,2.1325,3.25,0,12
10069,2,1.7549999999999997,3.25,0,12
2631,2,2.1325,3.5,0,13
12293,2,2.1975,3.5,0,13
19591,1,2.4725,3.75,0,14
14247,4,2.29,3.75,0,14
782,3,2.3449999999999998,3.75,0,14
31796,5,2.1975,3.75,0,14
874,5,1.6899999999999997,3.75,0,14
21915,5,1.6899999999999997,3.75,0,14
10407,5,1.6899999999999997,3.75,0,14
20352,3,1.6899999999999997,3.75,0,14
19812,5,2.4725,4.0,0,15
25768,2,1.8574999999999997,4.0,0,15
32080,1,1.8475000000000001,4.25,0,16
13043,5,1.8574999999999997,4.25,0,16
5904,5,1.9549999999999998,4.25,0,16
8652,4,2.0225,4.5,0,17
17226,5,1.8475000000000001,4.5,0,17
12314,5,1.8574999999999997,4.5,0,17
3164,5,1.44,4.75,0,18
19401,1,1.44,4.75,0,18
9875,5,1.44,4.75,0,18
11955,3,2.255,4.75,0,18
29919,5,2.235,5.0,0,19
22844,5,2.255,5.25,0,20
10262,5,2.8949999999999996,5.25,0,20
6829,5,1.9574999999999998,5.5,0,21
8157,5,2.329999999999999,5.5,0,21
28325,4,2.5249999999999995,5.75,0,22
28059,4,2.0774999999999997,5.75,0,22
23080,5,2.6975,6.0,0,23
4121,5,2.6975,6.0,0,23
3203,2,3.2874999999999996,6.5,0,25
32727,5,2.4399999999999995,6.5,0,25
27604,2,2.4399999999999995,6.5,0,25
31026,2,1.9049999999999998,7.0,0,27
29194,5,2.625,7.0,0,27
7019,3,2.8025,7.0,0,27
21771,1,2.34,7.25,0,28
5093,5,2.9425,7.25,0,28
13356,1,2.9425,7.25,0,28
4964,4,3.6449999999999996,7.25,0,28
2588,3,3.6449999999999996,7.25,0,28
13361,4,1.8424999999999998,7.75,0,30
17053,1,3.1224999999999996,7.75,0,30
9806,3,0.8499999999999999,0.25,29,30
27636,2,1.0675,0.25,29,30
23893,5,2.0799999999999996,8.0,0,31
30411,4,0.8499999999999999,0.5,29,31
21916,3,2.1799999999999997,8.25,0,32
10602,5,2.4025,8.25,0,32
25747,5,0.9375,0.75,29,32
25117,2,0.9375,0.75,29,32
8885,4,1.1275,0.75,29,32
26020,1,0.9799999999999999,0.75,29,32
28017,2,0.9349999999999998,0.75,29,32
8812,3,1.1275,0.75,29,32
3773,1,1.9024999999999999,8.5,0,33
15867,5,0.9349999999999998,1.0,29,33
1190,1,1.3624999999999998,8.75,0,34
8444,3,2.705,9.0,0,35
31325,5,2.7024999999999997,9.0,0,35
27307,4,1.1249999999999998,1.5,29,35
7695,5,1.325,1.5,29,35
15570,4,3.2874999999999996,9.25,0,36
27039,3,2.7024999999999997,9.25,0,36
26295,5,2.34,9.5,0,37
29270,4,2.494999999999999,9.5,0,37
19554,5,3.1224999999999996,9.5,0,37
13838,5,1.3875,2.0,29,37
1037,5,1.4974999999999998,2.0,29,37
157,4,1.3775,2.0,29,37
32405,5,1.3974999999999997,2.0,29,37
21066,2,1.4974999999999998,2.25,29,38
17806,5,3.1774999999999993,10.0,0,39
22836,5,1.355,10.0,0,39
20811,4,2.5625,10.0,0,39
20319,3,1.4874999999999998,2.5,29,39
3439,5,1.5424999999999998,2.5,29,39
26320,1,1.5424999999999998,2.5,29,39
24704,5,1.5125,2.5,29,39
