"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/24/2024 18:53:44:791 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","over-break-probability","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","0","0","0","0","0","0","0","0"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","1","1","711","0","1499","3","1499","2.1082981715893108"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","2","2","710","0","1497","5","1497","2.108450704225352"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","3","3","708","0","1495","7","1495","2.111581920903955"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","4","4","704","0","1487","15","1487","2.112215909090909"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","5","5","702","0","1484","18","1484","2.113960113960114"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","6","6","702","0","1484","18","1484","2.113960113960114"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","7","7","698","0","1476","26","1476","2.1146131805157595"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","8","8","694","0","1465","37","1465","2.110951008645533"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","9","9","693","0","1460","42","1460","2.1067821067821066"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","10","10","692","0","1459","43","1459","2.1083815028901736"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","11","11","690","0","1456","46","1456","2.110144927536232"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","12","12","685","0","1445","57","1445","2.1094890510948905"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","13","13","682","0","1442","60","1442","2.1143695014662756"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","14","14","680","0","1439","63","1439","2.1161764705882353"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","15","15","679","0","1437","65","1437","2.1163475699558174"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","16","16","675","0","1428","74","1428","2.1155555555555554"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","17","17","673","0","1421","81","1421","2.111441307578009"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","18","18","671","0","1417","85","1417","2.1117734724292103"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","19","19","665","0","1411","91","1411","2.1218045112781954"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","20","20","662","0","1406","96","1406","2.123867069486405"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","21","21","661","0","1403","99","1403","2.122541603630862"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","22","22","658","0","1399","103","1399","2.1261398176291793"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","23","23","655","0","1392","110","1392","2.1251908396946564"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","24","24","654","0","1390","112","1390","2.125382262996942"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","25","25","653","0","1388","114","1388","2.125574272588055"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","26","26","650","0","1383","119","1383","2.1276923076923078"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","27","27","647","0","1376","126","1376","2.126738794435858"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","28","28","646","0","1374","128","1374","2.126934984520124"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","29","29","640","0","1362","140","1362","2.128125"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","30","30","637","0","1357","145","1357","2.130298273155416"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","31","31","634","0","1348","154","1348","2.1261829652996846"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","32","32","634","0","1348","154","1348","2.1261829652996846"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","33","33","634","0","1348","154","1348","2.1261829652996846"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","34","34","632","0","1343","159","1343","2.125"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","35","35","631","0","1342","160","1342","2.126782884310618"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","36","36","631","0","1342","160","1342","2.126782884310618"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","37","37","629","0","1337","165","1337","2.125596184419714"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","38","38","628","0","1336","166","1336","2.127388535031847"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","39","39","626","0","1334","168","1334","2.130990415335463"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","40","40","622","0","1321","181","1321","2.1237942122186495"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","41","41","620","0","1313","189","1313","2.117741935483871"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","42","42","618","0","1308","194","1308","2.116504854368932"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","43","43","614","0","1296","206","1296","2.1107491856677525"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","44","44","611","0","1288","214","1288","2.1080196399345335"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","45","45","609","0","1283","219","1283","2.1067323481116587"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","46","46","607","0","1280","222","1280","2.1087314662273475"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","47","47","605","0","1278","224","1278","2.112396694214876"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","48","48","604","0","1276","226","1276","2.1125827814569536"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","49","49","603","0","1272","230","1272","2.109452736318408"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","50","50","602","0","1270","232","1270","2.1096345514950166"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","51","51","600","0","1265","237","1265","2.1083333333333334"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","52","52","596","0","1258","244","1258","2.110738255033557"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","53","53","593","0","1252","250","1252","2.111298482293423"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","54","54","592","0","1249","253","1249","2.1097972972972974"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","55","55","590","0","1247","255","1247","2.113559322033898"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","56","56","588","0","1241","261","1241","2.110544217687075"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","57","57","586","0","1239","263","1239","2.114334470989761"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","58","58","584","0","1236","266","1236","2.1164383561643834"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","59","59","581","0","1230","272","1230","2.117039586919105"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","60","60","579","0","1224","278","1224","2.1139896373056994"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","61","61","579","0","1224","278","1224","2.1139896373056994"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","62","62","579","0","1224","278","1224","2.1139896373056994"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","63","63","577","0","1221","281","1221","2.116117850953206"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","64","64","577","0","1221","281","1221","2.116117850953206"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","65","65","577","0","1221","281","1221","2.116117850953206"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","66","66","575","0","1217","285","1217","2.1165217391304347"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","67","67","575","0","1217","285","1217","2.1165217391304347"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","68","68","575","0","1217","285","1217","2.1165217391304347"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","69","69","574","0","1216","286","1216","2.1184668989547037"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","70","70","572","0","1212","290","1212","2.1188811188811187"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","71","71","571","0","1210","292","1210","2.1190893169877407"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","72","72","570","0","1209","293","1209","2.1210526315789475"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","73","73","568","0","1202","300","1202","2.1161971830985915"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","74","74","567","0","1199","303","1199","2.1146384479717812"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","75","75","566","0","1198","304","1198","2.11660777385159"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","76","76","565","0","1197","305","1197","2.11858407079646"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","77","77","563","0","1190","312","1190","2.113676731793961"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","78","78","562","0","1189","313","1189","2.1156583629893237"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","79","79","562","0","1189","313","1189","2.1156583629893237"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","80","80","561","0","1187","315","1187","2.1158645276292334"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","81","81","559","0","1183","319","1183","2.116279069767442"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","82","82","558","0","1182","320","1182","2.118279569892473"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","83","83","558","0","1182","320","1182","2.118279569892473"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","84","84","554","0","1173","329","1173","2.1173285198555956"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","85","85","553","0","1170","332","1170","2.115732368896926"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","86","86","551","0","1167","335","1167","2.117967332123412"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","87","87","547","0","1160","342","1160","2.1206581352833638"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","88","88","546","0","1159","343","1159","2.1227106227106227"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","89","89","544","0","1155","347","1155","2.1231617647058822"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","90","90","543","0","1152","350","1152","2.1215469613259668"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","91","91","540","0","1146","356","1146","2.1222222222222222"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","92","92","538","0","1143","359","1143","2.12453531598513"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","93","93","537","0","1140","362","1140","2.122905027932961"
"1","0.3","5000","0.3","30","0.3","0.25","0.06","94","94","535","0","1136","366","1136","2.1233644859813086"
